bgmea_reg_no,contact_person,district,email_address,mailing_address,member_or_company_name,mobile_number,no_employees,no_machines,product_capacity
4121,Abdullah Hil Nakib,Dhaka,nakib@team.com.bd,"House # 2 &amp; 4 (4th floor-north side), Jashimuddin Avenue, Sector # 3, Uttara",4A Yarn Dyeing Ltd.,1713095139,721,1100,60000
4333,Md. Moazzam Haider,Chittagong,a4bctgbd@gmail.com,"House # 117/A, Road # 17, CDA R/A, Agrabad",A4B Wears Ltd.,,175,235,850000
5751,Mahashin Haque,Dhaka,masud9star@gmail.com,"Plot # 56, Vatulia, House # 116, Nurani Madrasa Road # 5, Turag",9 Star Apparels Inds. Ltd.,1711001016,255,165,208000
4667,Sk. Md. Zamiruzzaman,Dhaka,azstitchltd@yahoo.com,"Gobindrapur (Chamorkhan), Ojampur, Uttarkhan",A.Z. Stitch Ltd.,,400,240,34000
4130,Mohammed Abdus Salam,Dhaka,masalam@asianapparels.com,"House # 68, Road # 10, Block - D, Banani",A.T.S. Apparels Ltd.,1711720458,1200,600,320000
6777,Ayub Anser Mintu,Dhaka,info@aansbd.com,"Plot # 81-82, Building # A, Satarkul Road, North Badda, Dhaka",AA & S International Ltd.,01711521097,430,180,156000
6146,Fahmida Alam Roselin,Gazipur,fahmida.alam@jeanspolo.com,"MazuKhan, Harbide, B. Baria",A.M. Fashion,01743601990,200,70,4800
3138,Kazi Abdus Sobahan,Dhaka,,"Afreen Exclusive Super Shop, Hosue # 43, Road # 2, Block-E, Banasree, Rampura",A.S. Garments & Textiles Ltd.,1711267387,320,270,50000
6675,Md. Atiqur Rahman,Narayangonj,atiqurrahman1420@gmail.com,"Shahalam Bhaban (3rd Floor), Painadi Notun Mohalla, Chittagong Road, Siddirgonj, Narayangonj",A.S.T Garments Ltd.,01817575829,600,245,14000
2573,A.M. Shafiul Karim,Chittagong,cpl@spectnet.com,"768, DIT Road, Double Mooring",A.S.R. Apparels Ltd.,1819315563,138,75,216000
4018,Md. Ismail Hossain,Dhaka,melodyrm@bdcom.com,"B-100, Malibagh Chowdhury Para, Malibagh",A.M. Design Ltd.,1711534143,990,1038,240000
6683,Md. Amir Hossain,Chittagong,anb.fashionctg@gmail.com,"Delux House (3rd &amp; 4Th Floor), 209/227 Kulgaon, Baluchara, Baizid Bostami, Chittagong",A.N.B. Fashion Ltd.,01911265927,207,141,100000
4785,Dewan Md. Mahiuddin,Dhaka,arb-knittdye@yahoo.com,"House # 05, Road # 127, Flat # C-2, Gulshan-1",A.R.B. Knitting & Dyeing Inds. Ltd.,1722316502,350,130,330000
3830,Mahmudur Rahman Khan,Dhaka,,"42-43, Purana Paltan (1st Floor), Paltan",A.R. Khan Sizing & Fabrics Ltd.,,0,0,0
3728,Md. Nurul Amin,Chittagong,knitexpo@spnetctg.com,"Plot # 6594-95, South Halishahar, Bandar",A.N. Sweaters Ltd.,,350,250,36000
3420,Md. Abdullah,Dhaka,md@pacificbluejeans.com,"14, Gadda Karnapara, Ulile, Savar",A.K.M. Knit Wear Ltd.,27743599,16815,6500,1950000
4116,Md. Atiar Rahman Khan,Dhaka,,"Plot # 15-16, Road # 4, Section # 7, Mirpur",A.K.J. Fashions Fabrics Ltd.,1715061222,250,83,60000
664,Salahuddin Kashem Khan,Chittagong,,"Batali Hills, Post Box # 223, Double Mooring",A.K. Khan & Co. Ltd.(Garments Div),,850,375,100000
1095,Inamul Haq Khan,Dhaka,abm@abmfashion.com,"House # 02, Road # 10, Sector # 11, Uttara",A.B.M. Fashions Ltd.,1819220916,900,400,130000
4719,Al-Haj Amjad Ali Bhuiya,Dhaka,bipulabs333@gmail.com,"16, Shyama Proshad Roy Chowdhury Lane, Luxmi Bazar, Dhaka",A.B. Sweater Inds. (BD) Ltd.,01711997977,240,260,36000
5545,Majumder Arifur Rahman,Dhaka,info@creativegroupbd.net,"House # 40, Lake Drive Road, Sector # 7, Uttara",ABSS High-Tech Sweater Ltd.,1711549042,1040,550,200000
2276,A.H.M. Kamruzzaman,Dhaka,info.garments@pinakigroup.com,"29, Gareb-E-Newaz Avenue, Sector # 11, Uttara",A.G. Dresses Limited.,,505,219,100000
4103,Mohd Abdullah,Dhaka,altaf@nassagroup.org,"238, Tejgaon I/A, Gulshan Link Road, Tejgaon",A.J. Super Garments Ltd.,1713042389,2633,1280,310000
3498,Neesar Ahmed,Dhaka,babylon@babylon-bd.com,"2-B/1, Darussalam Road, Mirpur",Aboni Knit Wear Ltd.,1819216007,0,69,0
1339,Mohammed Abdus Salam,Chittagong,masalam@asianapparels.com,"29, Baniatila, Station Road",Ably Garments Ltd.,1711720458,326,150,60000
4732,Abul Basher,Dhaka,basher@abgsweater.com,"Rain Drops (3rd Fl, A-3), House # 3, Road # 35, Sector # 7, Uttara",ABG Sweaters Ltd.,1713065720,310,300,35000
3837,Dr. Tariquddin Ahmed,Dhaka,tariq@ahmedfashions.com,"34/1, Darus Salam Road, Mirpur-1, Dhaka-1216, Dhaka",Abir Fashions,01711640137,998,893,83
2454,Wasim Rahman,Dhaka,info@mbm.group,"M-15 &amp; M-18, Section # 14, B. Baria",Absolute Quality Wear Limited,01729296458,1160,258,150000
3011,S.M. Emdadul Islam,Dhaka,babylon@babylon-bd.com,"2-B/1, Sarus Salam Road, Mirpur",Aboni Fashions Ltd.,,489,175,60000
34,Quazi Zainul Abedin,Dhaka,info@group-qa.com,"228/A, Tejgaon, Industrial Area, B. Baria",Abedin Garments Ltd.,,1900,1425,316667
5956,Md. Mohsin Rabbani,Narayanganj,abloomdl@gmail.com,"37, South Sastapur,, Fatullah",Abloom Design Ltd.,1713018473,550,227,500000
4725,Mahtab Uddin Ahmed Chowdhury,Dhaka,mahtab@falcongroupbd.com,"Plot # 2/1, Road # 7, Block-A, Nobodoy Housing Society, Adabor, Mohammadpur",ABC Knit Dyeing & Finishing Mills Ltd.,1711538242,861,485,385000
3973,A.H. Aslam Sunny,Dhaka,info@abanti.net,"House # 365/4, Road # 6 (West), DOHS, Baridhara",Abanti Colour Tex. Ltd.,1711561419,1084,650,900000
60,Salim Ullah,Dhaka,salim@spectra-bd.com,"F.R. Tower (7th Floor), 32, Kemal Ataturk Avenue, Banani",ABC Garments Ltd,1819251016,600,300,340000
1404,Md. Zillur Rahman Mridha,Gazipur,aba@abagroupbd.com,"Sena Kalyan Commercial Complex (7th Fl), Plot # 9, Block - F, Tongi",ABA Garments Ltd.,1711595929,1050,396,210000
5939,Shafiullah Mollick,Narayanganj,info@ ababilbd.com,"A/6, BSCIC,, Shasongaon,, Fatullah",Ababil Knit Composite Ltd.,1711537732,350,112,260000
5832,Sanaul Haque Babul,Dhaka,info@abfashionmakerbd.com,"28, Mirpur Road,, Golden Gate Sopping Center (1st Floor),, Dhanmondi",AB Fashion Maker,1911311528,190,100,8000
6174,Md. Jahangir Masum,Dhaka,affanhtl@gmail.com,"228/C, Tejgaon I/A, Tejgaon",Affan Composite Ltd.,1716815000,1250,729,260000
4455,Budrul Alam,Dhaka,abmartfashion@gmail.com,"786, Kakil Satiash Borodawra, 13/3, Purbapara, Mudafa, Tongi, B. Baria",AB Mart Fashionwear Ltd.,01711542966,1050,505,16666
3016,Md. Zillur Rahman Mridha,Gazipur,aba@abagroupbd.com,"Sena Kalyan Commercial Complex (2nd Fl), Plot # 9, Block - F, Tongi",ABA Fashions Ltd.,1711528030,1150,520,200000
73,A.F.M. Rumman,Dhaka,afco@agni.com,"House # 84 (4th Floor), New Airport Road, Banani",AFCO Abedin Garments Ltd.,1726332110,350,186,80000
6637,Anowerul Bashar,Dhaka,shafi@beximtex.com,"Plot # 24 (New), 17 (Old), Bir Uttam A.A. Rab Sarok, Road # 02, Dhanmondi, Dhaka, Dhaka",Adventure Garments Ltd.,01713274327,0,0,0
4416,Md. Anwar Hossain,Dhaka,info@advancegroupbd.com,"House # 7, Road # 8, Lane # 2, Block - A, Section # 11, Mirpur",Advance World Ltd.,1711537851,380,262,300000
5339,Sarwat Ara Khanam,Dhaka,,"5, Sujat Nagar (7th &amp; 8th Fl), Section # 12, Pallabi, Mirpur",Advance Design,1711520380,550,150,130000
4432,Salam Hossain Chowdhury,Dhaka,salam@advancebd.com,"House # 111, Road # 4, Block # A, Section-12, Pallabi, Mirpur, Dhaka",Advance Attire Ltd.,1711520380,1300,0,375000
5038,Nasiruddin Ahmed,Gazipur,,"228/7, Dighi Chala, Chandona Chowrasta, Chandona",Adorn Fashions Ltd.,1817298648,450,350,50000
4512,Md. rezaul Karim Chowdhury,Dhaka,rabiul@adorngroup.com,"42, Chowrangi Super Market (4th Fl), Savar Bazar",Adorn Knitwear Ltd.,1713047421,433,255,150000
4300,Abdul Kadir Mollah,Dhaka,headoffice@thermaxgroup.com,"30/A, VIP Road (14th Floor), Naya Paltan, Paltan",Adury Apparels Ltd.,,2600,1000,1466000
3781,Mahbubul Kabir Moon Moon,Gazipur,moonmoon@advancesweater.com,"70/3, Chandana, Joydevpur",Advance Sweater Industry Ltd.,,900,700,80000
5880,Md. Monir Hossain Emon,Dhaka,,"Ambon Rhythm Apt-A 1 &amp; C 1 (1st Floor),, House # 51, Road # 3, Sector # 3, Uttara Model Town",Aditto Fashion Ltd.,1713042059,186,126,998410
1055,Nakul Chandra Saha,Dhaka,aditi@global-bd.net,"Sofura Khatun Supar Market (5th-7th Floor), 1No Sujat Nagar, Section-12, Pallabi",Aditi Apparels Ltd.,1911669955,313,160,80000
4740,Md. Mazibur Rahman Mazumder,Chittagong,mazibctg@gmail.com,"99, Sattar Chamber, Agrabad C/A, Chittagong",Adila Apparels,01978062811,0,153,420000
1164,Ahsanur Rahman Chowdhury,Chittagong,acmeasm@yahoo.com,"CEPZ By Lane, Omar Shah Para, South Middle Halishahar, Bandar",ACME Apparels (Pvt) Ltd.,,200,100,120000
2225,Nagan Hung Tak.,Dhaka,,"Plot # 33-35, DEPZ, Savar",Actor Sporting Limited,,0,0,0
5112,Quazi Ashraf Uddin Ahmed,Dhaka,activestitch@gmail.com,"86/1, Purana Paltan Lane, (5th Floor), Paltan",Active Stitch Ltd.,1199822338,265,189,200000
1566,Engr. Mosharraf Hussain,Dhaka,info@standard-group.com,"Civil Engineers Bhaban, 69, Mohakhali C/A, Mohakhali",Adhunik Poshak Shilpa Ltd.,1713062177,1868,150,45000
4369,Md. Shahidul Haque Mukul,Dhaka,adams.apparels@yahoo.com,"ETDA Bhaban, Plot # I/15-18, Lane # 6, Block-D, Shaheed Bagh, Sec-12, Mirpur",Adams Apparels Ltd.,1819217797,450,320,150000
3565,Mahmud Hasan Khan,Dhaka,babu@rising-group.com,"Plot # I/10, Block - K, Rupnagar I/A, Mirpur",Active Composite Mills Ltd.,1711526199,690,244,300000
3890,Md. Shamsul Alam,Dhaka,info@akhfashions.com,"133/134, Hemayetpur, Savar",AKH Knitting & Dyeing Ltd.,1711528036,0,0,0
6148,A.S.M. Quamrul Ahsan,Dhaka,quamrul@ahsangroup.com,"Concodr Tower, Suite # 503 (5th floor), 113, Kazi Nazrul Islam Avenue, Dhaka",Ahsan Apparels Ltd.,01614199011,850,325,650000
2181,M.A. Jalil,Dhaka,jalil@aji-group.com,"226, Singair Road, Hemayetpur, Savar",AJI Apparels Industry Ltd.,1713069085,669,550,245000
3253,Md. Shamsul Alam,Dhaka,info@akhfashions.com,"AKH Tower, 133/134, Hemayetpur, Savar",AKH Fashions Ltd.,1713003432,580,185,120000
5848,Md. Abul Kashem,Dhaka,,"133/134,, Hemayetpur, Savar",AKH Eco Apparels Ltd.,1713003432,3677,2907,14400000
5263,Md. Shamsul Alam,Dhaka,info@akhfashions.com,"AKH Tower, 133-134, Hemayetpur, Savar",AKH Apparels Ltd.,1711528036,1000,350,240000
3395,Md. Kamruzzaman,Dhaka,mkzaman8@gmail.com,"25/A, Al-Amin Centre (14th Floor), Dilkusha",Akbar Apparels Ltd.,1713041599,465,155,679000
909,Harunoor Rashid,Dhaka,,"1/D, Uttar Adabar, Ring Road, Shamoli",AIM Knit Wear Ltd.,,150,100,20000
2956,Sanjay Kumar Chooromoney,Dhaka,,"Zirabo Bazar, Ashulia EPZ Road, Savar",Ajax Sweater Ltd.,1711565978,600,200,0
5186,Md. Hamidullah Hamid Rochy,Dhaka,ahadfashionltd@yahoo.com,"Swapnil Tower, Baipail, Ashulia, Savar",Ahad Fashion Ltd.,1711341432,300,145,200000
6494,Md. Rafiuddin Ahmed Ferdous,Dhaka,ahmedsocks@gmail.com,"Nayanagar, Ward # 53, Nishatnagar, Turag, Dhaka",Ahmed Socks Industries,01726724195,140,120,494000
764,Dr. Tariq Uddin Ahmed,Dhaka,tariq@ahmedfashions.com,"34/1, Darus Salam Road, Mirpur- 1, Dhaka-1216, Dhaka",Ahmed Fashions,01711640137,1145,0,66
1669,M. Shahadat Hossain Kiron,Dhaka,md@dekkogroup.com,"Suvastu Zenim Plaza, House # 37, Road # 16, Dhanmondi R/A, Dhanmondi",Agami Apparels Ltd.,1711530574,243,205,41600
4944,Md. Abdul Mannan,Dhaka,info@aftabunnesagroup.com,"Dag No. 6614, South Matuail,, Jatrabari",Aftabunnesa Textiles Ltd.,,450,215,80000
94,Al-Haj Md. Abu Sayeed,Dhaka,mostafa_victory@siriusbb.com,"Satmasjid Super Market (1st Floor), Plot # Gha, Block # D, Mohammadpur",AG's Apparels Ltd,,450,176,104000
2426,M. Shahadat Hossain Kiron,Dhaka,dg@dekkogroup.com,"Suvastu Zenim Plaza, House # 37, Road # 16, Dhanmondi R/A, Dhanmondi",Agami Fashions Limited,1711530574,243,205,41600
5119,Md. Abdul Bari,Dhaka,info@aftabunnesagroup.com,"Dag No. 6614, South Matuail,, Jatrabari",Aftabunnesa Garments Ltd.,1819228890,419,297,1000000
4798,Iftekharul Islam,Dhaka,ail@aftabgroupbd.com,"Uttara Bank Bhaban (4th Fl), 90, Motijheel C/A, Motijheel",Aftab Garments Ltd.,1720209077,0,0,650000
4163,Abdul Alim Arif,Chittagong,adl@afradresses.com,"CDA Market (1st Floor), 75/B, Sagorica Complex, Pahartoli",Afrah Dresses Ltd.,,497,350,100000
1867,Mosharof Hossain,Dhaka,alauddinns@gmail.com,"120, East Tejturi Bazar, Farmgate",Alauddin & Sons (Pvt.) Ltd. (Gr.Dv.),1841034860,307,154,46000
3891,Mosharof Hosain,Dhaka,alauddinns@gmail.com,"120, East Tejturi Bazar, Farmgate",Alauddin Garments Ltd.,1841034860,562,152,60000
4529,Md. Yasin Ferdosh,Dhaka,aleaya_ltd2005@yahoo.com,"House # 9 (2nd Floor), Road # 14/B, Sector # 4, Uttara Model Town, Uttara",Aleaya Sweater Ltd.,1713038317,201,297,45000
1309,Md. Abdullah,Dhaka,md@pacificbluejeans.com,"14, Gadda Karnapara, Ulile, Savar",Al-Muslim Garments Ltd.,27743599,600,250,100000
4797,Md. Akram Hossain,Chittagong,jamil@fourhgroup.com,"778, D.T. Road, Ashkarabad, Double Mooring",Alamode Apparels Ltd.,1928160829,450,176,720000
6678,Syed Tahmeed Azizul Huq,Dhaka,mail@tahmeedhuq.com,"7, Sahid Kazi Nazrul Islam Sharak, Tikatuli, Hatkhola, Dhaka",Afifa Apparels Ltd.,01711082212,184,264,95000
4438,Md. Basedur Rahman Chowdhury,Dhaka,drrubybd@algilani13.com,"House # 66, Road # 8, Block - C, Flat -B-1, Niketon Housing, Gulshan-1",Al-Tahsin Apparels Ltd.,1713015993,700,315,575000
2565,Md. Abdullah,Dhaka,md@pacificbluejeans.com,"14, Gadda Karnapara, Ulile, Savar",Al-Muslim Fashions Wear Ltd.,27743599,350,150,75000
5982,Mohammed Delwar,Chittagong,alittefaq@gmail.com,"Plot # 11, Mohora CDA I/A, Chandgaon",Al-Ittefaq Textiles Ltd.,1556603789,200,400,12000
5175,Abul Mansur Ahmed,Dhaka,mansur@pioneergroupbd.com,"9, Karnapara, Savar, Dhaka, Dhaka",Al-Islam Textiles Ltd.,,3478,3500,7945000
6648,Saydul Islam,Dhaka,alharamapparels2020@gmail.com,"House # 22, Apt # 2B, Road # 18, Sector # 3, Uttara, Dhaka, Dhaka",AL-Haram Apparels Ltd.,01711326191,240,122,0
6665,Md. Mazibur Rahman Mazumder,Chittagong,mazibctg@gmail.com,"RS Dag # 1314-1319 (BS Dag # 1473-1478), Keshabpur, Sitalpur, Sitakunda, Chittagong",Al Yusar Textiles Ltd.,01978062811,247,133,90200
3981,M. Rahman Rana,Dhaka,rana@akrfashions.com,"Jorpul, Bus Stand, Tetuljhora, Rajfulbaria, Savar, Dhaka",AKR Fashions Ltd.,01731215062,480,250,2160000
5893,Al-Haj Mohammed Zakaria Wahid,Narayanganj,,"Al-Amin Center, Madani Nagar,, Sanarpar,, Siddirgonj",Al-Amin Export Ltd.,1711536504,750,500,830000
6868,Nizamul Haque,Narayanganj,alaminknitwears@gmail.com,"Madaninagar,Sanarpar, Siddirgonj, Narayangonj",Al-Amin Knit Wears,01926050149,261,118,350000
361,A.M. Chowdhury (Selim),Chittagong,selim@alamingarment.com,"Progressive Tower (6th Floor), 1837, Badamtoli, Agrabad",Al-Amin Garment Inds. Ltd,1713120012,600,500,500000
4174,M.A. Khaza Bin Solim,Dhaka,info@akikapparels.com,"220/A, 1/1 West Kafrul, Begum Rokeya Sarani, Shewrapara, Mirpur",Akik Apparels Ltd.,1711975513,415,186,100000
6092,Noor Mohammad,Dhaka,noor.md@akhandafashion.com,"Natunpara, Hemayetpur, Savar, Dhaka",Akhand Fashion (Pvt.) Ltd.,01819951411,220,256,500000
4271,Md. Shamsul Alam,Dhaka,info@akhfashions.com,"133/134, Hemayetpur, Savar",AKH Stitch Art Ltd.,1713043259,789,204,900000
4500,Md. Shamsul Alam,Dhaka,info@akhfashions.com,"133/134, Hemayetpur, Savar",AKH Shirts Ltd.,1711528036,0,0,0
4181,Md. Shamsul Alam,Dhaka,info@akhfashions.com,"133/134, Hemayetpur, Savar",AKH Knitwear Ltd.,1713083101,268,98,156000
6187,Khandokar Iqbal Hossain,Dhaka,info@achievefashionltd.com,"House # 59, Road # 1, Block # I, Banani",Achieve Fashion Ltd.,1713016251,700,450,150000
5049,Md. Shahadat Hossain,Dhaka,aanytexbd@yahoo.com,"Flat # A2, House # 29, Road # 6, Sector # 3, Uttara, Dhaka",Aanytex Limited,1911356692,200,84,10000
6800,Md. Sohel Rana,Dhaka,aaknitf@outlook.com,"House # 20, Road # 1/A, Sector # 9, Uttara, Dhaka",AA Knit Fashion,01713828860,141,100,350000
6077,M.A. Jalil Ananta,Dhaka,aji@aji-group.com,"225, Singair Road, Hemayetpur, Savar",AB Apparels Ltd.,1730044420,2400,1400,1625000
5251,Md. Omar Faroque,Dhaka,,"Shamsher Market, Darussalam, 191/1, South Bishil, Section # 1, Mirpur",Alliance Apparels Ltd.,1933318931,250,129,70000
1154,Md. Tariqul Islam,Dhaka,tariqul@mbfashion.net,"52, Shahid Tajuddin Ahmed Sarani, Mohakhali",All Weather Fashions Ltd.,1711548995,750,463,100000
5957,K.M. Sharif Zaman,Narayanganj,info@allroundknit.com,"Godenail,, Bhuiyanpara,, Siddirgonj",All Round Knit Wear Ltd.,1715007449,250,85,180000
775,Nasir Uddin Ahmed,Dhaka,,"4, Monir Hossain Lane, Narinda, Sadarghat",Allahma Apparels,,250,55,90000
2324,Azizul Islam,Dhaka,,"21/22, Babar Road, Block # B, Mohammadpur",Alif Outwears Limited,1199859645,250,114,70000
1907,Azizul Islam,Dhaka,,"21/22, Babar Road, Block # B, Mohammadpur",Alif Textiles Ltd.,1199859645,310,135,70000
5499,Tanvir Ziaul Rashid,Dhaka,tanvir@eastwestindpark.com,"SPL Tower, 186, Tejgaon I/A, Dhaka",Aliza Fashion Ltd.,01713461067,350,170,26000
3204,Mohammad Suruj Miah,Dhaka,alimknit@yahoo.com,"27, Harunabad, Senanibas Road, Pallabi, Mirpur-12, Dhaka",Alim Knitwears Ltd.,01711536515,235,195,150000
4969,Haji Abdul Majid Mondol,Dhaka,info@mondol.net,"House # 8, Sonargaon Janapath, Sector # 11, Uttara",Alim Knit (BD) Ltd.,1711591138,1114,606,1000000
1326,Azizul Islam,Dhaka,,"21/22, Babar Road, Block # B, Mohammadpur",Alif Apparels Limited,1711431642,300,130,72000
5818,Azimul Islam,Dhaka,,"Bilquis Tower (9th Floor), House # 6, Road # 46, Gulshan-2",Alif Casual Wear Ltd.,1711431642,1250,687,32000000
95,Md. Abu Nayem,Gazipur,info@aligarments.com,"8, Dagerchala (3rd Floor), National University",Ali Garments Ltd.,1711150367,990,520,244000
6384,Md. Sohel Rana,Gazipur,sohel@alienstexwear.com,"Hatimara, Kashimpur, Gazipur",Aliens Texwear Ltd.,01730974512,500,286,6000000
579,Azizul Islam,Dhaka,,"21/22, Babar Road, Block # B, Mohammadpur",Alif Garments Ltd,1199859645,435,271,146000
6348,Jashim Uddin Ahmed,Dhaka,jasimanjumangmt@gmail.com,"Nandan Swaranika, Suite-07, House # 07, Sector # 01, Road # 13, Uttara Model Town, Dhaka",Alien Apparels Ltd.,01712056715,535,200,2880000
1412,Major (Retd) Abdul Mannan,Chittagong,mannan915@hotgmail.com,"CDA Annex Bldg.(2nd Floor), GPO. Box-673, Shahid Suhrawardi Road",Alfa Textiles Ltd.,1713034189,1381,982,244392
4324,Mohammad Saifullah Monsur,Chittagong,almamun@alertfashion.com,"J. Alam Tower, Abdul Latif Road, Bandar",Alert Fashions Ltd.,1971440066,350,150,180000
6173,Abdul Aual Hossain,Dhaka,alim@aleyabd.com,"244, Hemayetpur, Savar",Aleya apparels Ltd.,1711946568,1153,0,240000
4346,Amanullah Chagla,Dhaka,chagla@padmabd.com,"House # 458, Road # 8, Baridhara DOHS, Dhaka 1212, Dhaka",Alfa Patterns (Bangladesh) Ltd.,,950,600,2430000
5035,Mizanur Rahman Chowdhury,Gazipur,mahabub@mimgroupbd.com,"Bashan Sarak Bazar, Vogra",Alema Textiles Ltd.,1711568072,2600,1093,1000000
5048,Md. Mahabub Hossain,Dhaka,mahabub@unifillgroup.net,"House # B-150, Road # 22, New DOHS, Mohakhali",Aman Fashions & Designs Ltd.,1711520040,980,602,91000
5201,Md. Mahabub Hossain,Dhaka,mahabub@unifillgroup.net,"House # B-150, Road # 22, New DOHS, Mohakhali",Aman Graphics & Designs Ltd.,1711520040,560,290,180000
2978,Md. Mahabub Hossain,Dhaka,amanknit@gnbd.net,"House # B-150, Road # 22, New DOHS, Mohakhali",Aman Knittings Ltd.,1711520040,3150,1325,205000
5081,Rumana Rashid,Dhaka,mail@eastwestindpark.com,"SPL Western Tower, 186, Tejgaon I/A, Tejgaon",Alvin Fashion Ltd.,1711520564,300,220,52000
4766,Modabbir Hossain,Dhaka,merchand2_ama@dekko.net.bd,"Plot # 87,  Avenue # 1, Block - B, Section # 12, Mirpur",Ama Syntex Ltd.,1912011127,50,140,210000
6011,Md. Abdus Sabur,Dhaka,sabur@alternativefashionbd.com,"Holding # 1745/1, Uttar Mullah Para, Uttar Khan, Uttara",Alternative Sweaters Ltd.,1763535105,50,45,30000
5882,Hazi Md. Ahsan Miah,Dhaka,desun@hasangroup.org,"89/1, Birulia Road, Savar",Alsina Garments Ltd.,1711533671,500,276,42000
6112,Mirza Abdul Mazed,Dhaka,adldrrrresswear@yahoo.com,"House # 499 (3rd Floor), Road # 34, New DOHS, Mohakhali",Alpha Dresswear Ltd.,1716319390,239,208,2400000
1115,Faruk-Al-Nasir,Dhaka,faruk@shaningroup.net,"SPL Western Tower, Level # 7, 186, Tejgaon I/A, Tejgaon",Alpha Knitting Wear Ltd.,1819229398,600,283,120000
4514,M.A. Qaiyum,Dhaka,,"Plot # 12, Road # 1, Block - Kha, Section # 6, Mirpur",Alpha Knit Apparels Ltd.,,250,143,30000
970,Khan-E-Alam,Dhaka,,"11/B, Extension Pallabi, Mirpur",Alps Apparels Ltd.,1819262161,450,200,200000
2623,Jalaluddin Ahmed,Dhaka,alltex@bdmail.net,"145, Motijheel C/A, Motijheel",Alltex Industries Ltd.,,711,60,250000
2499,A.K.M. Shaheed Reza,Dhaka,,"House # 8, Road # 3, Nikunja-1, Khilkhet",Allure Apparel Ltd.,1199852531,250,125,20000
5692,Pareshkumar Suryakumar Powani,Dhaka,paresh@alphaclothing.biz,"House # 457 (2nd Floor), Road # 8, DOHS, Baridhara",Alpha Clothing Ltd.,1611450000,500,406,120000
5843,Aminul Haque,Gazipur,,"Bijoy Road, Mogarkhal, National University, Gazipur Sadar",Alluring Fashions Ltd.,1815421320,400,126,90000
